dataset_name,uniprot_id
"hnps PLA2",P14555
"σ70 subunit Escherichia coli RNA polymerase",P00579
"Immunoglobulin E (IgE), Human",P01854
"E7 papillomavirus oncoprotein",P03129
"MS2CoatProtein",P03612
"Recombinant CUG-binding protein 1 Open Reading Frame ORF",Q92879
"NFkappaB p65",Q04206
"Vascular endothelial growth factor",P15692
"CD4",P01730
"Taq polymerase",P19821
"platelet-derived growth factor BB",P01127
"Muscleblind-like 1 protein (MBNL1)",Q9NR56
"L-selectin",P14151
"thyroid transcription factor 1",P43699
"Leptin protein, Human",P41159
"Mammaglobin A (MGB1)",Q13296
"interleukin 17 RA",Q96F46
"Interleukin 17 RA",Q96F46
"NTS 1",P30989
"SECIS binding protein 2",Q96T21
"Variant surface glycoprotein",P26332
