target_name,row_count,proposed_accession,uniprot_name,length_aa,organism,reviewed,confidence,confidence_reasoning,source_doi_checked,notes
"Ustilago maydis RNA binding protein Rrm4",20,A0A0D1DWZ5,"RNA-binding protein RRM4",792,"Mycosarcoma maydis (= Ustilago maydis, reclassified)",yes,high,"Exact protein name match in TrEMBL. Mycosarcoma maydis is the current accepted name for Ustilago maydis. No alternative candidate found.",no,"TrEMBL (not Swiss-Prot reviewed). Multiple source PMIDs reference Rrm4 specifically. Verify species synonym before applying."
"Escherichia coli (E. coli) core bacterial RNA polymerase (RNAP)",13,DESIGN_QUESTION,"Multi-subunit complex: rpoA (P0A7Z4) rpoB (P0A8V2) rpoC (P0A8T7) rpoZ (P0A800)",various,"Escherichia coli K12",yes,design_question,"RNAP core is α₂ββ'ω — five subunits. No single sequence represents the complex. Requires human decision: which subunit is the actual aptamer contact residue per PMID:15606780? β' (rpoC) is the largest subunit and most common aptamer target in RNAP literature.",no,"DESIGN QUESTION — do not auto-apply. Read PMID:15606780 Materials & Methods to identify which subunit the aptamer was selected against."
"NS3 protein of hepatitis C virus",11,P27958,"Genome polyprotein (NS3 within aa 1027-1657)",3011,"Hepatitis C virus genotype 1a (isolate H77)",yes,medium,"HCV NS3 is encoded within the genome polyprotein. Multiple strain-specific reviewed entries exist (P27958 genotype 1a H77; Q9WMX2 genotype 1b Con1; P26663 genotype 1b BK). Strain depends on each source paper. PMID:11132628 maps to a Zn2+-aptamer paper NOT about HCV NS3 — likely a scraping error. Other PMIDs need individual checking.",no,"NSP3 aa 1027-1657 within polyprotein. Genotype must be confirmed per PMID before applying. Note PMID:11132628 is an incorrect scraper PMID for this target."
"TvFL3 Thermoplasma volcanium",10,UNRESOLVED,"Multiple unnamed TrEMBL entries (Q97C07/Q979L0/Q97BS4/Q978Q4/Q979E1)",77-177,"Thermoplasma volcanium GSS1",no,unresolved,"Five unnamed TrEMBL entries for T. volcanium in Lrp size range but none is labelled TvFL3. Cannot safely assign without the 2009 paper (PMID:19468044) identifying which gene product TvFL3 is. One PMID (18403417) maps to a TFIIB aptamer paper — incorrect scraper PMID.",no,"Requires PMID:19468044 Methods section to identify the TvFL3 gene/accession. Likely 130-177aa range based on other FFRP proteins (FL11=151aa, Ss-LrpB=356aa)."
"Abrin toxin, Abrus precatorius (A.precatorius)",8,P11140,"Abrin-a",528,"Abrus precatorius",yes,high,"P11140 is abrin-a (the A chain/toxic component of abrin) from Abrus precatorius — exact species match, reviewed. Abrin is a type 2 RIP; the A chain is the N-glycosidase (toxic subunit) most commonly used in binding studies. The B chain (ricin-like lectin) mediates cell entry. Aptamer work against 'abrin toxin' most likely targeted the whole toxin or the A chain.",yes,"Also see 'Abrin toxin' (3 rows, same PMID:17055241). Both entries use the same PMID; both can use P11140. Medium risk: if aptamer selection used the whole toxin preparation, the B chain may be the binding target (P11143 is B-chain agglutinin from Abrus but that is wrong accession; the actual abrin B chain is within the same gene)."
"hepatitis C virus domain",8,LOW_CONFIDENCE,P27958 or Q9WMX2 (polyprotein),3011,"HCV genotype 1a or 1b",yes,low,"Name 'hepatitis C virus domain' is too vague to assign safely — which domain (NS3? NS5B? core? E2?) is unknown. The scraper captured a partial context string rather than a protein name. Assigning P27958 would put the full polyprotein; the specific domain binding the aptamer is undefined.",no,"FLAG: this target_name is a scraper artifact (generic 'domain' without protein identity). These rows should be flagged for deletion or manual identification before any sequence is applied."
"M proteins on the surface of Streptococcus pyogenes (S. pyogenes)",5,UNRESOLVED,"M protein serotype 11 (emm11 gene product)",~400,"Streptococcus pyogenes",no,unresolved,"PMID:26678795 specifies 'M-type 11' of S. pyogenes. No reviewed UniProt entry exists for M-protein serotype 11. Reviewed M12 (P19401, 564aa) and M6 (P08089, 483aa) exist but serotype substitution is unsafe for aptamer training. The emm11 gene product would be in TrEMBL but was not found in search.",yes,"Requires TrEMBL search for emm11 Streptococcus pyogenes. Do NOT substitute M12 or M6 — M proteins are hypervariable and aptamers are serotype-specific."
"Hepatitis C virus core and NS5 proteins",5,DESIGN_QUESTION,"P27958 covers both (genome polyprotein genotype 1a H77)",3011,"Hepatitis C virus genotype 1a",yes,design_question,"Target name lists TWO proteins (core protein at aa 1-191, NS5 at aa 2420-3011 within polyprotein). Cannot assign one sequence representing both. DESIGN QUESTION: which protein was the aptamer actually selected against, or was SELEX run against both simultaneously? Read each source PMID to determine.",no,"DESIGN QUESTION — report to human. Using the full polyprotein P27958 as a proxy is possible but misleading for a dual-target claim."
"Nonphosphorylated BACE1 CT",5,P56817,"Beta-secretase 1 (BACE1)",501,"Homo sapiens",yes,medium_policy,"P56817 is the correct BACE1 reviewed entry. 'CT' = C-terminal fragment; the aptamer was selected against a truncated form. Using full-length is a policy decision (full sequence contains the CT region). If the policy from protein_enrichment_report.md is revised to allow full-length for fragment targets, confidence becomes high.",yes,"POLICY DECISION: same as 'Phosphorylated BACE1 CT'. BACE1 CT is a truncated construct; the aptamer's structural binding partner is the CT region, not the full protein. Currently flagged as requiring human decision."
"Ss-LrpB Sulfolobus solfataricus",5,Q97YZ9,"Lrp/AsnC family transcriptional regulator",356,"Saccharolobus solfataricus P2 (= Sulfolobus solfataricus)",no,medium,"PMID:19468044 explicitly names Ss-LrpB as one of four archaeal FFRPs studied alongside TvFL3/FL10/FL11. Q97YZ9 (TrEMBL, 356aa) is a Lrp/AsnC family regulator from the correct species. No reviewed entry. Plausible size (Lrp-family proteins are typically 150-360aa). Naming could not be confirmed as specifically LrpB vs a paralog.",yes,"TrEMBL. Verify Q97YZ9 is LrpB (not lrs14/LysM/other paralog) before applying. The 356aa length is consistent with published LrpB data from Solfataricus."
